"","county","year","population","employment","income","rent","housevalue","price_to_rent","metro","employment_rate","mean_income"
"126","Champaign","2015",207734,127168,8801074,1037.91666666667,130658.333333333,10.2108333333333,1,0.612167483416292,42.3670366911531
"127","Christian","2015",33546,15021,1230096,NA,71175,5.8075,NA,0.447773206939725,36.6689322124843
"128","Clark","2015",15943,7934,588020,NA,72533.3333333333,5.3975,0,0.497647870538794,36.8826444207489
"129","Clay","2015",13378,7837,463329,NA,70866.6666666667,NA,0,0.585812528031096,34.6336522649125
"130","Coles","2015",52563,31542,1891564,1202.5,83025,6.0175,0,0.600079904115062,35.9866065483325
"131","Cook","2015",5224823,3464790,290008075,1645.83333333333,191933.333333333,9.69416666666667,1,0.663140167619075,55.5058180918282
"132","DeKalb","2015",104541,53321,3764807,1376.91666666667,146158.333333333,8.66416666666667,NA,0.510048689031098,36.0127318468352
"133","Dewitt","2015",NA,NA,NA,NA,82633.3333333333,6.58333333333333,NA,NA,NA
"134","Du Page","2015",NA,NA,NA,1838.33333333333,258750,11.44,NA,NA,NA
"135","Effingham","2015",34396,27408,1479541,NA,122150,8.60916666666667,0,0.796836841493197,43.0149145249448
"136","Ford","2015",13726,6842,656767,1151.33333333333,77791.6666666667,5.78,1,0.498470056826461,47.8483899169459
"137","Gallatin","2015",5278,2221,213579,NA,60383.3333333333,NA,0,0.420803334596438,40.4658961727927
"138","Grundy","2015",50499,24560,2439536,1151.16666666667,163491.666666667,11.5583333333333,1,0.486346264282461,48.3086001703004
"139","Henry","2015",49459,20782,2094399,1127.41666666667,105083.333333333,7.99416666666667,1,0.420186417032289,42.3461655108271
"140","Iroquois","2015",28651,13195,1153100,1353.58333333333,91941.6666666667,NA,0,0.460542389445395,40.2464137377404
"141","Jackson","2015",59220,36287,1986862,NA,88016.6666666667,NA,1,0.61274907125971,33.5505234718001
"142","Kane","2015",529702,269430,23973832,1692.5,195625,9.48,1,0.508644483124474,45.2590928484318
"143","Kankakee","2015",110795,55478,4131361,1205.91666666667,114816.666666667,8.225,1,0.500726567083352,37.2883343111151
"144","Kendall","2015",122946,40702,5360304,1732.16666666667,204083.333333333,9.44,1,0.331055910725034,43.5988482748524
"145","Knox","2015",51416,26494,1937097,NA,71591.6666666667,5.56166666666667,0,0.515287070172709,37.674984440641
"146","La Salle","2015",NA,NA,NA,NA,94233.3333333333,6.615,0,NA,NA
